cluster,1000,10,0.05,591,0,-2.0,950,1000,1000
cluster,1000,10,0.05,591,0,-1.5,950,1000,1000
cluster,1000,10,0.05,591,0,-1.0,950,1000,1000
cluster,1000,10,0.05,591,0,-0.5,950,1000,1000
cluster,1000,10,0.05,591,0,0,950,1000,1000
cluster,1000,10,0.05,591,0,0.5,950,1000,1000
cluster,1000,10,0.05,591,0,1.0,950,1000,1000
cluster,1000,10,0.05,591,0,1.5,950,1000,1000
cluster,1000,10,0.05,591,0,2,950,1000,1000
cluster,1000,10,0.05,591,2,-1.0,176,409,459
cluster,1000,10,0.05,591,2,-0.5,212,447,485
cluster,1000,10,0.05,591,2,0,224,467,487
cluster,1000,10,0.05,591,2,-1.5,235,447,476
cluster,1000,10,0.05,591,2,-2.0,103,103,105
cluster,1000,10,0.05,591,2,1.5,575,659,660
random,1000,10,0.05,591,0.0,0,950,1000,1000
cluster,1000,10,0.05,591,2,0.5,280,516,527
cluster,1000,10,0.05,591,2,1.0,345,551,556
cluster,1000,10,0.05,591,2,2,0,948,948
cluster,1000,10,0.05,591,4,-2.0,0,0,0
cluster,1000,10,0.05,591,4,-1.5,0,0,0
cluster,1000,10,0.05,591,4,0,24,86,87
cluster,1000,10,0.05,591,4,-0.5,4,30,30
cluster,1000,10,0.05,591,4,-1.0,1,10,10
cluster,1000,10,0.05,591,4,1.5,535,592,592
random,1000,10,0.05,591,2.025972,0,188,467,499
cluster,1000,10,0.05,591,4,1.0,199,312,312
cluster,1000,10,0.05,591,4,0.5,79,201,201
cluster,1000,10,0.05,591,4,2,0,0,0
cluster,1000,10,0.05,591,6,-2.0,0,0,0
cluster,1000,10,0.05,591,6,-1.5,0,0,0
cluster,1000,10,0.05,591,6,-1.0,0,0,0
cluster,1000,10,0.05,591,6,-0.5,0,1,1
random,1000,10,0.05,591,4.073922,0,18,80,80
cluster,1000,10,0.05,591,6,0,1,22,22
cluster,1000,10,0.05,591,6,1.5,520,569,569
cluster,1000,10,0.05,591,6,1.0,148,228,228
cluster,1000,10,0.05,591,6,0.5,38,88,88
cluster,1000,10,0.05,591,8,-2.0,0,0,0
cluster,1000,10,0.05,591,6,2,0,0,0
cluster,1000,10,0.05,591,8,-1.5,0,0,0
cluster,1000,10,0.05,591,8,-1.0,0,0,0
cluster,1000,10,0.05,591,8,-0.5,0,0,0
random,1000,10,0.05,591,6.181812,0,2,10,10
cluster,1000,10,0.05,591,8,0,0,3,3
cluster,1000,10,0.05,591,8,1.0,114,176,176
cluster,1000,10,0.05,591,8,0.5,14,41,41
cluster,1000,10,0.05,591,8,1.5,508,544,544
cluster,1000,10,0.05,591,10,-2.0,0,0,0
cluster,1000,10,0.05,591,8,2,0,0,0
cluster,1000,10,0.05,591,10,-1.5,0,0,0
cluster,1000,10,0.05,591,10,-0.5,0,0,0
cluster,1000,10,0.05,591,10,-1.0,0,0,0
random,1000,10,0.05,591,8.159832,0,1,3,3
cluster,1000,10,0.05,591,10,0,0,0,0
cluster,1000,10,0.05,591,10,1.5,494,537,537
cluster,1000,10,0.05,591,10,1.0,87,145,145
cluster,1000,10,0.05,591,10,0.5,4,17,17
cluster,1000,10,0.05,591,12,-2.0,0,0,0
cluster,1000,10,0.05,591,12,-1.5,0,0,0
cluster,1000,10,0.05,591,10,2,0,0,0
cluster,1000,10,0.05,591,12,-0.5,0,0,0
random,1000,10,0.05,591,10.161828,0,1,1,1
cluster,1000,10,0.05,591,12,-1.0,0,0,0
cluster,1000,10,0.05,591,12,0,0,0,0
cluster,1000,10,0.05,591,12,1.5,490,527,527
cluster,1000,10,0.05,591,12,0.5,2,5,5
cluster,1000,10,0.05,591,12,1.0,73,125,125
cluster,1000,10,0.05,591,14,-2.0,0,0,0
cluster,1000,10,0.05,591,14,-1.5,0,0,0
cluster,1000,10,0.05,591,14,-0.5,0,0,0
cluster,1000,10,0.05,591,14,-1.0,0,0,0
cluster,1000,10,0.05,591,12,2,0,0,0
random,1000,10,0.05,591,12.243744,0,0,1,1
cluster,1000,10,0.05,591,14,0,0,0,0
cluster,1000,10,0.05,591,14,1.5,496,528,528
cluster,1000,10,0.05,591,14,1.0,67,109,109
cluster,1000,10,0.05,591,14,0.5,1,5,5
random,1000,10,0.05,591,14.097888,0,0,1,1
cluster,1000,10,0.05,591,16,-2.0,0,0,0
cluster,1000,10,0.05,591,14,2,0,0,0
cluster,1000,10,0.05,591,16,-1.0,0,0,0
cluster,1000,10,0.05,591,16,-1.5,0,0,0
cluster,1000,10,0.05,591,16,-0.5,0,0,0
cluster,1000,10,0.05,591,16,0,0,0,0
cluster,1000,10,0.05,591,16,1.5,482,525,525
cluster,1000,10,0.05,591,16,1.0,54,94,94
cluster,1000,10,0.05,591,16,0.5,0,0,0
random,1000,10,0.05,591,16.00398,0,0,0,0
cluster,1000,10,0.05,591,16,2,0,0,0
cluster,1000,10,0.05,591,18,-2.0,0,0,0
